signal,regime,draw_count,test_year_count,test_month_count,predicted_obs_count,prediction_coverage_rate,missing_row_prediction_count,missing_row_prediction_rate,mean_prediction_draw_std,missing_row_mean_prediction_draw_std,oos_r2,rank_ic_month_count,mean_rank_ic,median_rank_ic,rank_ic_t_stat,delta_oos_r2_vs_complete_case,delta_mean_rank_ic_vs_complete_case
AnalystRevision,complete_case,1,31,366,1050842,0.7182317496596259,0,0.0,0.0,,-0.0022868035089584904,342,-0.010565152984192342,-0.014617640317600484,-2.178466572695024,0.0,0.0
AnalystRevision,conditional_mean,1,31,366,1362415,0.9311863336377108,311573,0.9167470900467241,0.0,,-0.001362516140819947,342,-0.03419800221485961,-0.025396144951668448,-6.6112188316209,0.0009242873681385433,-0.023632849230667267
AnalystRevision,conditional_quantile_draw,25,31,366,1362415,0.9311863336377108,311573,0.9167470900467241,4.562540365137178e-05,0.00013901312774006587,-0.0013595048510530727,342,-0.03422167594160157,-0.025253761028954526,-6.612170968550839,0.0009272986579054177,-0.023656522957409228
AnalystRevision,residual_bootstrap,25,31,366,1362415,0.9311863336377108,311573,0.9167470900467241,3.840557755013354e-05,0.00011890764093601275,-0.0013608636520539008,342,-0.034223700497528875,-0.025247874939004537,-6.613521143150854,0.0009259398569045896,-0.023658547513336535
AnalystRevision,unconditional_mean,1,31,366,1362415,0.9311863336377108,311573,0.9167470900467241,0.0,0.0,-0.00136264444420231,342,-0.03419342588673237,-0.025413839350543983,-6.610652350639159,0.0009241590647561804,-0.023628272902540028
FEPS,complete_case,1,31,366,1117276,0.7636382028246951,0,0.0,0.0,,-0.002254001136986483,360,-0.009931251026259228,-0.014599797655313515,-2.101504015450719,0.0,0.0
FEPS,conditional_mean,1,31,366,1441874,0.9854951418088765,324598,0.9916506533142293,0.0,0.0,-0.0012623568910186123,360,-0.03240319977016659,-0.02464253693725865,-6.504880346244131,0.000991644245967871,-0.022471948743907365
FEPS,conditional_quantile_draw,25,31,366,1441874,0.9854951418088765,324598,0.9916506533142293,1.51962012104217e-05,4.357949092444063e-05,-0.001267339151742819,360,-0.03235466570540258,-0.024754895010460097,-6.49423732668148,0.0009866619852436642,-0.022423414679143355
FEPS,residual_bootstrap,25,31,366,1441874,0.9854951418088765,324598,0.9916506533142293,2.2933739614228287e-05,3.4876789103094204e-05,,360,-0.03240758779964419,-0.02458309222525739,-6.505319956235348,,-0.022476336773384967
FEPS,unconditional_mean,1,31,366,1441874,0.9854951418088765,324598,0.9916506533142293,0.0,0.0,-0.0012718669694489204,360,-0.03231150067872596,-0.02456131533211858,-6.486098349702825,0.0009821341675375628,-0.02238024965246673
ForecastDispersion,complete_case,1,31,366,746959,0.5105331434164265,0,0.0,0.0,,-0.0030592120109165233,354,-0.027298671244267592,-0.021394854016464147,-4.900409214895101,0.0,0.0
ForecastDispersion,conditional_mean,1,31,366,1414524,0.966801905001449,667565,0.9667919391161414,0.0,0.0,-0.0012934094437817567,354,-0.03413379025682395,-0.02576507508174372,-6.7529816307149915,0.0017658025671347666,-0.006835119012556356
ForecastDispersion,conditional_quantile_draw,25,31,366,1414524,0.966801905001449,667565,0.9667919391161414,8.442309459325277e-05,0.00013738076800555777,-0.0012904554914277,354,-0.03415943056847615,-0.025665596627344422,-6.759016006387167,0.0017687565194888233,-0.00686075932420856
ForecastDispersion,residual_bootstrap,25,31,366,1414524,0.966801905001449,667565,0.9667919391161414,6.035555035506869e-05,8.753763238525755e-05,-0.001291378432985768,354,-0.03416997648559762,-0.025408730159208776,-6.760318047527718,0.0017678335779307552,-0.00687130524133003
ForecastDispersion,unconditional_mean,1,31,366,1414524,0.966801905001449,667565,0.9667919391161414,0.0,0.0,-0.0012933863581607863,354,-0.034146180903334086,-0.02559553819900311,-6.754313621271588,0.001765825652755737,-0.006847509659066494
REV6,complete_case,1,30,360,1089611,0.755690857869689,0,0.0,0.0,,-0.06716808318942125,360,-0.013842639919646595,-0.01397625856645086,-2.895927729039111,0.0,0.0
REV6,conditional_mean,1,30,360,1441874,1.0,352263,1.0,0.0,0.0,-0.04035365483091624,360,-0.03203409813273659,-0.027920065236173373,-6.428616138638405,0.026814428358505005,-0.018191458213089994
REV6,conditional_quantile_draw,25,30,360,1441874,1.0,352263,1.0,4.391588642377711e-05,9.470621204597771e-05,-0.01782891394309072,360,-0.032057120829975534,-0.02800041631813694,-6.43182095236081,0.04933916924633053,-0.01821448091032894
REV6,residual_bootstrap,25,30,360,1441874,1.0,352263,1.0,3.5493728018064325e-05,6.89544382358522e-05,-0.024317018060648232,360,-0.032061240073544814,-0.0279356674485184,-6.432914980415451,0.042851065128773014,-0.01821860015389822
REV6,unconditional_mean,1,30,360,1441874,1.0,352263,1.0,0.0,0.0,-0.04030112928114771,360,-0.032022408761509386,-0.027851038909002722,-6.426560009416232,0.02686695390827354,-0.01817976884186279
