missing_pattern_code,missing_pattern_label,row_count,share_of_rows
0000,COMPLETE,865026,0.50089318440943
1111,AnalystRevision|REV6|ForecastDispersion|FEPS,355857,0.20605894611767336
0010,ForecastDispersion,349851,0.202581172657034
1011,AnalystRevision|ForecastDispersion|FEPS,51207,0.029651406193633115
0110,REV6|ForecastDispersion,51075,0.0295749716120806
0000,NO_ELIGIBLE_SIGNAL,20691,0.011981120658356529
0100,REV6,18267,0.01057750379711946
1110,AnalystRevision|REV6|ForecastDispersion,10624,0.006151825715256864
1010,AnalystRevision|ForecastDispersion,2584,0.001496264838876481
1000,AnalystRevision,986,0.0005709431622028678
1100,AnalystRevision|REV6,799,0.00046266083833680665
