signal,benchmark_type,slice_name,n_obs,n_observed_signal,n_missing_signal,stage1_p_value,j_p_value,j_stat,observed_variance_mean,missing_variance_mean
AnalystRevision,augmented_signal_history,always_missing,1061282,1042452,18830,6.627265403125193e-11,0.0,256.9138999538424,3.265874039859253,6.28875036170753
AnalystRevision,augmented_signal_history,end_missing,1132644,1042452,90192,0.0,0.0,453.08790770010216,3.2652068165187487,6.27769780255366
AnalystRevision,augmented_signal_history,full_sample,1343831,1042452,301379,0.0,0.0,579.2023552417486,3.3815834630157084,6.410884901567116
AnalystRevision,augmented_signal_history,middle_missing,1132966,1042452,90514,0.0,0.0,388.6698641748899,3.259869697842023,6.269356928454407
AnalystRevision,augmented_signal_history,start_missing,1144295,1042452,101843,0.0,0.0,296.1482126592361,3.328670523295655,6.365212533568578
AnalystRevision,fixed_x_obs,always_missing,1061282,1042452,18830,0.03494530667453155,0.0,126.3444609801538,3.250639800072417,6.273558599239715
AnalystRevision,fixed_x_obs,end_missing,1132644,1042452,90192,0.0,0.0,280.55830636931205,3.2755552135926664,6.288088121357087
AnalystRevision,fixed_x_obs,full_sample,1343831,1042452,301379,0.0,0.0,347.9648828761407,3.365502312190237,6.39484658445062
AnalystRevision,fixed_x_obs,middle_missing,1132966,1042452,90514,0.0,0.0,206.4365752185338,3.2650925835330034,6.274621724806213
AnalystRevision,fixed_x_obs,start_missing,1144295,1042452,101843,0.0,0.0,167.7786569129335,3.288364273080121,6.324949421189026
FEPS,augmented_signal_history,always_missing,1069545,1053876,15669,6.110667527536862e-13,2.9031525494715993e-06,6.8792240664547375,14.575449884674738,25.59561569174399
FEPS,augmented_signal_history,end_missing,1143926,1053876,90050,0.0,0.0,44.71417690212532,14.238109719342567,25.413809905242903
FEPS,augmented_signal_history,full_sample,1343831,1053876,289955,0.0,0.0,398.67449062007444,12.741998030839957,23.23301934735887
FEPS,augmented_signal_history,middle_missing,1137642,1053876,83766,0.0,0.0,21.624225328014276,14.078136693639335,25.039058405733332
FEPS,augmented_signal_history,start_missing,1154346,1053876,100470,0.0,7.520747538070083e-07,7.509389231441782,13.785431266943501,24.44172581900385
FEPS,fixed_x_obs,always_missing,1069545,1053876,15669,0.0,0.0,6282.13133906814,3227.253009199229,5178.895486389834
FEPS,fixed_x_obs,end_missing,1143926,1053876,90050,0.0,0.0,9111.387199800225,3167.862250752665,5148.5054139591275
FEPS,fixed_x_obs,full_sample,1343831,1053876,289955,0.0,0.0,17747.606443964072,2753.1744075623205,4581.442636138289
FEPS,fixed_x_obs,middle_missing,1137642,1053876,83766,0.0,0.0,8903.993159517322,3071.640140708438,4993.768328882918
FEPS,fixed_x_obs,start_missing,1154346,1053876,100470,0.0,0.0,11407.513120640102,3015.1735134998808,4892.229669500188
ForecastDispersion,augmented_signal_history,always_missing,842548,716564,125984,0.0,0.0,1762.8185490087521,1.9058540139474922,3.3777920906760284
ForecastDispersion,augmented_signal_history,end_missing,830067,716564,113503,0.0,0.0,1934.239223823112,2.005095910920537,3.4542127380735463
ForecastDispersion,augmented_signal_history,full_sample,1343831,716564,627267,0.0,0.0,3224.548598963636,2.443459016820841,3.917084718252855
ForecastDispersion,augmented_signal_history,middle_missing,983341,716564,266777,0.0,0.0,2102.986148144626,1.9437799262575606,3.3921427770009567
ForecastDispersion,augmented_signal_history,start_missing,837567,716564,121003,0.0,0.0,1668.740816307285,1.8255891715526598,3.300207256729245
ForecastDispersion,fixed_x_obs,always_missing,643851,539557,104294,0.0,0.0,3173.5465271546173,2.5809520879080807,4.3151840601634035
ForecastDispersion,fixed_x_obs,end_missing,620764,539557,81207,0.0,0.0,2750.463707111221,2.4333284181910053,4.144442877290918
ForecastDispersion,fixed_x_obs,full_sample,995660,539557,456103,0.0,0.0,5174.701822278739,2.8787998844893945,4.616778385160228
ForecastDispersion,fixed_x_obs,middle_missing,718545,539557,178988,0.0,0.0,1997.0063810164727,2.308251267436868,4.013669568752826
ForecastDispersion,fixed_x_obs,start_missing,631171,539557,91614,0.0,0.0,2345.12517472574,2.4079098765815763,4.139508332783174
REV6,augmented_signal_history,always_missing,1061573,1022536,39037,0.9999999994720684,1.0103029524088925e-14,11.885831576985291,0.12118856462279537,0.24210002995177338
REV6,augmented_signal_history,end_missing,1131036,1022536,108500,0.0,2.5446466446865657e-05,6.24996291368659,0.11924503682113537,0.24095267724409206
REV6,augmented_signal_history,full_sample,1351985,1022536,329449,0.0,5.712061103002597e-07,7.334936524094042,0.10745626663651132,0.22479780011869746
REV6,augmented_signal_history,middle_missing,1122457,1022536,99921,0.0,1.9905854742319207e-11,11.866609617996305,0.11774628645639335,0.2382499469759205
REV6,augmented_signal_history,start_missing,1104527,1022536,81991,0.9999999134973139,6.320499679191016e-13,10.879521040148544,0.11778742070702032,0.23714362009356546
REV6,fixed_x_obs,always_missing,1061573,1022536,39037,0.07998587488553377,0.0,703.3145159301221,0.5605966192528873,1.0433399860669017
REV6,fixed_x_obs,end_missing,1131036,1022536,108500,0.0,0.0,1144.4030828400412,0.5933215316330105,1.0816560270647961
REV6,fixed_x_obs,full_sample,1351985,1022536,329449,0.0,0.0,1551.0826510597028,0.5955242589203575,1.0572496597125651
REV6,fixed_x_obs,middle_missing,1122457,1022536,99921,0.0,0.0,774.9264298610935,0.5713801746382948,1.0517724169859997
REV6,fixed_x_obs,start_missing,1104527,1022536,81991,6.804271990290545e-08,0.0,747.9592240955262,0.5505726574376872,1.0239865523893938
