variable,non_missing_count,mean,std,min,25%,50%,75%,max
ret_fwd_1m,1712923.0,0.011821681206335602,0.18819745562014348,-1.866667,-0.066667,0.002074,0.073529,17.60465
AnalystRevision,1303002.0,1.0033732409091183,1.9398753901066068,-429.0,0.99333334,1.0,1.0063695,498.0
AnalystRevision_tier1,1263816.0,1.0028196051214038,1.8437357937689798,-429.0,0.99319726,1.0,1.0064516,450.0
REV6,1248301.0,0.05144690870427597,50.848112259896254,-2038.6094,-0.010538747,0.0015607995,0.011450224,32747.26
REV6_tier1,1248301.0,0.05144690870427597,50.848112259896254,-2038.6094,-0.010538747,0.0015607995,0.011450224,32747.26
ForecastDispersion,887824.0,-0.2124435492572319,1.3548747857401753,-205.0,-0.12222222,-0.045454547,-0.019685039,0.0
ForecastDispersion_tier1,864675.0,-0.21106929235050534,1.358016754228105,-205.0,-0.12121212,-0.044871796,-0.019607844,0.0
FEPS,1318542.0,3.128334342729936,139.28866631576605,-2234.0,0.23,1.03,2.0899999,21879.07
FEPS_tier1,1278809.0,3.2071420524399024,141.43378736736145,-2234.0,0.23999999,1.04,2.0999999,21879.07
